Name,Email Address,Address ,Country,Job Title,Phone Number,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Extra ,Aggregate,Billing Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Jasmine Driscoll,Jasmine_Driscoll942@sheye.org,"St. Jamess  Grove, 5591 Fort Lauderdale",Burkina Faso,Biologist,7059406503,Cereal,Online,C,10/11/2010,547563159,11/4/2010,1102,1020683.4,11/4/2010,4962,205.7,117.11,1020683.4,581099.82,439583.58
Alan Richards,Alan_Richards4295@nimogy.biz,"Dunton  Pass, 3408 Rochester",Iraq,Web Developer,7810488270,Baby Food,Offline,M,4/25/2017,278474080,6/14/2017,1103,1409911.44,6/14/2017,5523,255.28,159.42,1409911.44,880476.66,529434.78
Roger Nicolas,Roger_Nicolas9491@fuliss.net,"Durham Alley, 2612 Rome",Panama,Healthcare Specialist,6338229073,Snacks,Offline,C,8/30/2011,996355521,9/21/2011,1104,395945.1,9/21/2011,2595,152.58,97.44,395945.1,252856.8,143088.3
Martin Dallas,Martin_Dallas9225@brety.org,"Thurloe   Pass, 4268 Valetta",Jordan,Clerk,7574769366,Household,Offline,C,2/27/2015,940318810,3/6/2015,1105,58139.49,3/6/2015,87,668.27,502.54,58139.49,43720.98,14418.51
Margaret Drummond,Margaret_Drummond7723@brety.org,"Bicknell  Drive, 2976 Indianapolis",Andorra,Doctor,9651963731,Cosmetics,Offline,L,2/20/2016,219787776,3/5/2016,1106,3909442.4,3/5/2016,8942,437.2,263.33,3909442.4,2354696.86,1554745.54
Percy Lewis,Percy_Lewis215@hourpy.biz,"Ernest  Walk, 4882 Oklahoma City",Tonga,Steward,9073056959,Vegetables,Online,H,7/30/2011,364498746,8/11/2011,1107,328764.04,8/11/2011,2134,154.06,90.93,328764.04,194044.62,134719.42
Marla Dixon,Marla_Dixon5113@sheye.org,"Apsley    Tunnel, 5890 Omaha","Korea, South",Webmaster,9953558437,Household,Online,H,11/14/2010,274500548,11/23/2010,1108,6460166.09,11/23/2010,9667,668.27,502.54,6460166.09,4858054.18,1602111.91
Marigold Kaur,Marigold_Kaur8375@eirey.tech,"Fairholt   Tunnel, 3120 Zurich",Nauru,Assistant Buyer,6233694651,Baby Food,Online,H,11/25/2016,270154511,12/22/2016,1109,913391.84,12/22/2016,3578,255.28,159.42,913391.84,570404.76,342987.08
Luna Pond,Luna_Pond8250@deavo.com,"Cockspur  Way, 6287 Venice",Iran,Accountant,6895840057,Personal Care,Online,H,9/12/2014,742134463,10/8/2014,1110,239795.82,10/8/2014,2934,81.73,56.67,239795.82,166269.78,73526.04
Charlize Todd,Charlize_Todd284@gembat.biz,"Blanchard  Alley, 285 Worcester",Guatemala,Service Supervisor,6806499006,Cosmetics,Online,C,1/21/2013,801426732,2/19/2013,1111,3862224.8,2/19/2013,8834,437.2,263.33,3862224.8,2326257.22,1535967.58
Lillian Crawley,Lillian_Crawley5893@extex.org,"Mariner   Lane, 2058 Rochester",Cameroon,CNC Operator,7688230840,Beverages,Offline,H,6/30/2010,529330146,8/16/2010,1112,446409.6,8/16/2010,9408,47.45,31.79,446409.6,299080.32,147329.28
Bryon Watson,Bryon_Watson7101@bungar.biz,"Elystan  Way, 9446 Springfield",Canada,Associate Professor,6422707723,Office Supplies,Offline,C,2/26/2014,527456033,3/2/2014,1113,3136227.36,3/2/2014,4816,651.21,524.96,3136227.36,2528207.36,608020
Ronald Redfern,Ronald_Redfern3911@gembat.biz,"Castlereagh   Tunnel, 2302 Jacksonville",Tunisia,Call Center Representative,7915538947,Meat,Offline,M,4/26/2013,567728221,5/12/2013,1114,950096.28,5/12/2013,2252,421.89,364.69,950096.28,821281.88,128814.4
Benny Brown,Benny_Brown5842@twace.org,"Cobden  Walk, 7337 San Antonio",Burkina Faso,Software Engineer,7839754517,Clothes,Offline,C,6/23/2013,942383038,6/29/2013,1115,102504.64,6/29/2013,938,109.28,35.84,102504.64,33617.92,68886.72
Josh Farrow,Josh_Farrow8249@cispeto.com,"Battersea   Lane, 3904 Zurich","India",Stockbroker,7491237498,Snacks,Online,C,5/26/2017,213969314,7/7/2017,1116,1087895.4,7/7/2017,7130,152.58,97.44,1087895.4,694747.2,393148.2
Shelby Taylor,Shelby_Taylor2922@mafthy.com,"Abourne   Street, 9485 New York",,Treasurer,8286427991,Cereal,Offline,M,10/10/2013,165348374,11/27/2013,1117,1874544.1,11/27/2013,9113,205.7,117.11,1874544.1,1067223.43,807320.67
Angel Lakey,Angel_Lakey3227@acrit.org,"Dunsley  Drive, 1630 Milano",,Budget Analyst,8843732465,Cosmetics,Online,M,4/16/2011,849694049,5/29/2011,1118,964463.2,5/29/2011,2206,437.2,263.33,964463.2,580905.98,383557.22
Shay Andrews,Shay_Andrews2785@supunk.biz,"Elizabeth  Vale, 3035 Henderson",,Bookkeeper,6233230546,Cosmetics,Online,C,2/14/2012,140492665,2/18/2012,1118,1642560.4,2/18/2012,3757,437.2,263.33,1642560.4,989330.81,653229.59
