first_name,last_name,occupation,income_level,identifier,product_name,product_type,transaction_id,customer_id,product_id,merchant_name,transaction_description,transaction_amount,type_deposit_withdrawal,transaction_date,channel
KIRI,Torns,VP Quality Control,High,138-30-9227,Regular Fixed Deposit,fixed deposit,8864,711,471,National Bank,fixed deposit Deposit,23621,D,2021-05-18 00:00:00.000,Branch
RANNA,Kevane,Speech Pathologist,High,038-05-6520,Critical Illness Platinum,health insurance,8470,577,1644,National Bank,health insurance Deposit,13283,D,2021-05-18 00:00:00.000,Branch
KIRI,Torns,VP Quality Control,High,138-30-9227,Equities,Equities,5485,711,1871,Oyoba,Equities Withdrawal,8137,W,2021-05-18 00:00:00.000,Branch
DONOVAN,Maplethorp,Geological Engineer,Low,523-46-9926,Diners Club Black,credit card,255,42,3380,Topicware,credit card Deposit,3994,D,2021-05-17 00:00:00.000,Phone Banking
DONOVAN,Maplethorp,Geological Engineer,Low,523-46-9926,Diners Club Black,credit card,3977,42,3380,Thoughtsphere,credit card Deposit,24849,D,2021-05-17 00:00:00.000,Phone Banking
BRADFORD,Crosser,Food Chemist,Medium,010-07-3932,Foreign Education Loan,educational loan,897,65,4573,National Bank,educational loan Deposit,4483,D,2021-05-17 00:00:00.000,Phone Banking
STANISLAUS,Schaffler,Geological Engineer,Low,523-62-9624,Emergency Personal Loan,Personal Loan,7064,355,1465,National Bank,Personal Loan Deposit,18046,D,2021-05-17 00:00:00.000,Branch
ANGELITA,Farres,Physical Therapy Assistant,High,385-73-5682,Foreign Education Loan,educational loan,433,288,4751,National Bank,educational loan Deposit,13013,D,2021-05-17 00:00:00.000,Phone Banking
STANISLAUS,Schaffler,Geological Engineer,Low,523-62-9624,Emergency Personal Loan,Personal Loan,192,355,1465,National Bank,Personal Loan Deposit,10895,D,2021-05-17 00:00:00.000,Branch
DONOVAN,Maplethorp,Geological Engineer,Low,523-46-9926,Diners Club Black,credit card,675,42,3380,Fivespan,credit card Deposit,16631,D,2021-05-17 00:00:00.000,Phone Banking
STANISLAUS,Schaffler,Geological Engineer,Low,523-62-9624,Emergency Personal Loan,Personal Loan,5677,355,1465,National Bank,Personal Loan Deposit,6096,D,2021-05-17 00:00:00.000,Branch
FAYRE,Furmage,Senior Cost Accountant,Low,942-34-8529,Super Saver Facility,fixed deposit,702,272,2950,National Bank,fixed deposit Deposit,21625,D,2021-05-17 00:00:00.000,Branch
CLETIS,Bushrod,Business Systems Development Analyst,Medium,205-62-3460,Home Gaurd Insurance,home insurance,5226,74,4078,National Bank,home insurance Deposit,3643,D,2021-05-17 00:00:00.000,Phone Banking
ELVYN,Emanuelli,Web Designer II,High,352-45-6256,Life Easy Health,life insurance,9803,946,3207,National Bank,life insurance Deposit,3016,D,2021-05-17 00:00:00.000,Branch
ERNESTA,Skillett,Sales Associate,Low,720-61-7423,Super Saver Savings Account,savings account,9658,495,3299,Topiclounge,savings account Deposit,13946,D,2021-05-17 00:00:00.000,Phone Banking
DONOVAN,Maplethorp,Geological Engineer,Low,523-46-9926,Emergency Personal Loan,Personal Loan,9581,42,2278,National Bank,Personal Loan Deposit,20279,D,2021-05-17 00:00:00.000,Branch
EDMUND,Corde,Systems Administrator III,High,258-29-0974,Diners Club Black,Equities,4773,302,3812,Realcube,credit card Deposit,6723,D,2021-05-17 00:00:00.000,Phone Banking
WAY,Poyner,Assistant Manager,Medium,209-07-3800,Life Easy Health,life insurance,2276,581,699,National Bank,life insurance Deposit,10329,D,2021-05-17 00:00:00.000,Branch
DONOVAN,Maplethorp,Geological Engineer,Low,523-46-9926,Diners Club Black,Equities,2149,42,4887,Zoonder,credit card Deposit,11164,D,2021-05-17 00:00:00.000,Phone Banking
BRADFORD,Crosser,Food Chemist,Medium,010-07-3932,Foreign Education Loan,educational loan,8491,65,4573,National Bank,educational loan Deposit,23771,D,2021-05-17 00:00:00.000,Phone Banking
HELENELIZABETH,Champley,Tax Accountant,Low,425-74-2107,Regular Fixed Deposit,fixed deposit,4076,290,1245,National Bank,fixed deposit Deposit,20587,D,2021-05-16 00:00:00.000,Branch
HELENELIZABETH,Champley,Tax Accountant,Low,425-74-2107,Regular Fixed Deposit,fixed deposit,3640,290,1245,National Bank,fixed deposit Deposit,15632,D,2021-05-16 00:00:00.000,Branch
DOROTHEE,Caine,Senior Quality Engineer,High,502-03-1919,Diners Club Black,credit card,5243,380,2021,Brainlounge,credit card Deposit,10557,D,2021-05-16 00:00:00.000,Phone Banking
BERYLE,Auty,Assistant Professor,Low,373-28-4860,Supreme Current Account,current account,5078,60,1864,Riffpedia,current account Deposit,14573,D,2021-05-16 00:00:00.000,Phone Banking
FELIZA,Kinnerk,Web Designer I,Medium,853-08-1310,Jet Privilege World,credit card,4383,336,4157,Devpoint,mutual funds Withdrawal,4923,W,2021-05-16 00:00:00.000,Branch
LURLINE,Cookney,Junior Executive,Low,700-06-1162,Equities,Equities,8142,513,1999,Oloo,Equities Withdrawal,21442,W,2021-05-15 00:00:00.000,Branch
NANCE,Megarry,Senior Sales Associate,Medium,775-66-0458,Super Saver Facility,fixed deposit,1915,732,149,National Bank,fixed deposit Deposit,14605,D,2021-05-15 00:00:00.000,Branch
KERMIE,Cadalleder,Staff Scientist,High,034-25-6475,SavingsMax Account,savings account,5115,1000,1836,Innotype,savings account Deposit,24699,D,2021-05-15 00:00:00.000,Phone Banking
LURLINE,Cookney,Junior Executive,Low,700-06-1162,Equities,Equities,6307,513,1999,Youspan,Equities Withdrawal,5142,W,2021-05-15 00:00:00.000,Branch
XEVER,Ferrario,Design Engineer,High,510-39-1635,Life Easy Health,life insurance,1333,553,2487,National Bank,life insurance Deposit,20237,D,2021-05-15 00:00:00.000,Branch
CARLYNNE,Yvens,Programmer IV,High,056-92-3317,New Car Loan,car loan,9413,621,1338,National Bank,car loan Deposit,22869,D,2021-05-15 00:00:00.000,Phone Banking
BRYANA,Cosslett,Senior Developer,Low,758-88-9021,Ultima Current Account,current account,9031,421,1190,Ailane,current account Deposit,2280,D,2021-05-15 00:00:00.000,Branch
KERMIE,Cadalleder,Staff Scientist,High,034-25-6475,SavingsMax Account,savings account,8805,1000,1836,Geba,savings account Deposit,7950,D,2021-05-15 00:00:00.000,Branch
ABRAHAM,Gallear,Biostatistician III,Medium,327-90-4809,National Home Loan,home loan,8431,414,457,National Bank,home loan Deposit,23047,D,2021-05-15 00:00:00.000,Branch
TORI,Cluely,Senior Developer,Low,464-14-8619,Foreign Education Loan,educational loan,8199,310,573,National Bank,educational loan Deposit,20016,D,2021-05-15 00:00:00.000,Phone Banking
NANCE,Megarry,Senior Sales Associate,Medium,775-66-0458,Critical Illness Platinum,health insurance,3387,732,4861,National Bank,health insurance Deposit,20239,D,2021-05-14 00:00:00.000,Branch
MERLINA,Edelston,Health Coach II,Low,076-24-9645,SavingsMax Account,savings account,6585,546,1982,Skaboo,savings account Deposit,4907,D,2021-05-14 00:00:00.000,Branch
NANCE,Megarry,Senior Sales Associate,Medium,775-66-0458,Critical Illness Platinum,health insurance,6199,732,4861,National Bank,health insurance Deposit,14989,D,2021-05-14 00:00:00.000,Branch
NANCE,Megarry,Senior Sales Associate,Medium,775-66-0458,Critical Illness Platinum,health insurance,10846,732,4861,National Bank,health insurance Deposit,14181,D,2021-05-14 00:00:00.000,Branch
ROSELIN,Cowdrey,Financial Advisor,Low,629-63-4415,Private Car Insurance,motor insurance,10046,465,4648,National Bank,motor insurance Deposit,4339,D,2021-05-14 00:00:00.000,Branch
LIA,Pablos,Librarian,Low,056-82-9748,SavingsMax Account,savings account,3949,900,1593,Dablist,current account Deposit,3151,D,2021-05-13 00:00:00.000,Branch
LIA,Pablos,Librarian,Low,056-82-9748,Health Security Plan,health insurance,914,900,3440,National Bank,health insurance Deposit,21195,D,2021-05-13 00:00:00.000,Branch
MELODEE,Lander,Senior Developer,High,038-01-5629,Private Car Insurance,motor insurance,3567,112,2130,National Bank,motor insurance Deposit,8624,D,2021-05-13 00:00:00.000,Branch
LINN,Vagg,Statistician IV,Medium,957-54-1506,Home Gaurd Insurance,home insurance,8167,563,1102,National Bank,home insurance Deposit,5812,D,2021-05-10 00:00:00.000,Phone Banking
FULTON,Scawton,Software Consultant,Low,220-93-1834,Life Easy Health,life insurance,1865,641,1487,National Bank,life insurance Deposit,16710,D,2021-05-10 00:00:00.000,Branch
TRACY,Yanson,Research Nurse,Low,484-77-2192,Regular Fixed Deposit,fixed deposit,10183,736,663,National Bank,fixed deposit Deposit,16948,D,2021-05-10 00:00:00.000,Branch
XEVER,Ferrario,Design Engineer,High,510-39-1635,Super Saver Savings Account,savings account,2671,553,3217,Kazio,savings account Deposit,19783,D,2021-05-10 00:00:00.000,Branch
TADIO,Jansens,Project Manager,High,643-49-5340,Diners Club Black,Equities,8382,383,3039,Topicware,credit card Deposit,5886,D,2021-05-10 00:00:00.000,Branch
DOLLY,Indruch,Design Engineer,Medium,611-04-2517,Platinum Times Card,credit card,1993,849,2834,Browsetype,Equities Withdrawal,14396,W,2021-05-09 00:00:00.000,Branch
ESTHER,Carryer,VP Accounting,Low,984-46-8157,Critical Illness Platinum,health insurance,3353,826,4805,National Bank,health insurance Deposit,21348,D,2021-05-09 00:00:00.000,Branch
ENGELBERT,Renzo,Junior Executive,Low,035-83-0298,Health Security Plan,health insurance,3099,322,243,National Bank,health insurance Deposit,15911,D,2021-05-09 00:00:00.000,Branch
TEDDY,Reichelt,Mechanical Systems Engineer,High,222-02-6167,Emergency Personal Loan,Personal Loan,10927,419,4412,National Bank,Personal Loan Deposit,4763,D,2021-05-09 00:00:00.000,Branch
ESTHER,Carryer,VP Accounting,Low,984-46-8157,Critical Illness Platinum,health insurance,2631,826,4805,National Bank,health insurance Deposit,9977,D,2021-05-09 00:00:00.000,Branch
SABA,Kedie,Software Consultant,High,590-97-2074,SavingsMax Account,savings account,5107,877,576,Tagfeed,current account Deposit,14408,D,2021-05-09 00:00:00.000,Branch
WAY,Poyner,Assistant Manager,Medium,209-07-3800,Platinum Times Card,credit card,4680,581,2765,Leenti,Equities Withdrawal,23944,W,2021-05-09 00:00:00.000,Branch
SHOSHANNA,Wilkes,Product Engineer,Medium,508-56-7502,Emergency Personal Loan,Personal Loan,7664,488,2212,National Bank,Personal Loan Deposit,15256,D,2021-05-08 00:00:00.000,Branch
EDMUND,Corde,Systems Administrator III,High,258-29-0974,Super Saver Facility,fixed deposit,3490,302,2300,National Bank,fixed deposit Deposit,14996,D,2021-05-08 00:00:00.000,Branch
ROBINIA,Losebie,VP Marketing,Medium,975-97-0318,Private Car Insurance,motor insurance,1413,187,2508,National Bank,motor insurance Deposit,22967,D,2021-05-08 00:00:00.000,Branch
ROBINIA,Losebie,VP Marketing,Medium,975-97-0318,Private Car Insurance,motor insurance,685,187,2508,National Bank,motor insurance Deposit,22203,D,2021-05-08 00:00:00.000,Branch
ANTONIUS,Gay,Pharmacist,Medium,093-02-4554,Diners Club Black,credit card,5004,151,731,Zoombeat,credit card Deposit,9522,D,2021-05-08 00:00:00.000,Branch
VANIA,Duffill,Business Systems Development Analyst,Low,637-95-4885,New Car Loan,car loan,4320,30,3269,National Bank,car loan Deposit,14054,D,2021-05-08 00:00:00.000,Phone Banking
DOLPH,McMonies,Health Coach II,Low,856-33-1847,SavingsMax Account,savings account,8129,975,626,Rhyloo,savings account Deposit,3730,D,2021-05-07 00:00:00.000,Branch
DOLPH,McMonies,Health Coach II,Low,856-33-1847,Platinum Times Card,credit card,7777,975,2547,Oyondu,Equities Withdrawal,5463,W,2021-05-07 00:00:00.000,Branch
LYNDE,Denidge,Senior Quality Engineer,Low,031-17-5772,Foreign Education Loan,educational loan,3745,152,2050,National Bank,educational loan Deposit,18995,D,2021-05-07 00:00:00.000,Phone Banking
WALLY,Rawlinson,Nuclear Power Engineer,Low,934-73-3136,Home Gaurd Insurance,home insurance,3671,66,2308,National Bank,home insurance Deposit,15079,D,2021-05-07 00:00:00.000,Phone Banking
ALOISIA,Ledford,Sales Associate,High,578-87-0291,New Car Loan,car loan,7194,967,3500,National Bank,car loan Deposit,8552,D,2021-05-07 00:00:00.000,Phone Banking
DOLPH,McMonies,Health Coach II,Low,856-33-1847,Franklin Templeton MF,mutual funds,3520,975,4588,Flipopia,mutual funds Withdrawal,18804,W,2021-05-07 00:00:00.000,Branch
WALLY,Rawlinson,Nuclear Power Engineer,Low,934-73-3136,Regular Fixed Deposit,fixed deposit,847,66,2991,National Bank,fixed deposit Deposit,12201,D,2021-05-07 00:00:00.000,Branch
WALLY,Rawlinson,Nuclear Power Engineer,Low,934-73-3136,Diners Club Black,credit card,821,66,1588,Eazzy,mutual funds Withdrawal,13625,W,2021-05-07 00:00:00.000,Branch
DOLPH,McMonies,Health Coach II,Low,856-33-1847,Platinum Times Card,credit card,6140,975,2547,Ntags,Equities Withdrawal,17513,W,2021-05-07 00:00:00.000,Branch
ALDRICH,Meron,Senior Editor,High,038-01-5845,Regular Fixed Deposit,fixed deposit,5994,258,1821,National Bank,fixed deposit Deposit,20572,D,2021-05-07 00:00:00.000,Branch
WALLY,Rawlinson,Nuclear Power Engineer,Low,934-73-3136,SavingsMax Account,savings account,5871,66,1143,Aibox,savings account Deposit,13756,D,2021-05-07 00:00:00.000,Branch
WALLY,Rawlinson,Nuclear Power Engineer,Low,934-73-3136,Critical Illness Platinum,health insurance,1434,66,3861,National Bank,health insurance Deposit,9976,D,2021-05-07 00:00:00.000,Branch
ALDRICH,Meron,Senior Editor,High,038-01-5845,Regular Fixed Deposit,fixed deposit,2775,258,1663,National Bank,fixed deposit Deposit,7100,D,2021-05-07 00:00:00.000,Branch
CALV,Tuxsell,Programmer Analyst II,Low,624-22-7668,Super Saver Savings Account,savings account,4743,516,4814,Fivechat,current account Deposit,6574,D,2021-05-07 00:00:00.000,Branch
WALLY,Rawlinson,Nuclear Power Engineer,Low,934-73-3136,Home Gaurd Insurance,home insurance,10709,66,2308,National Bank,home insurance Deposit,5286,D,2021-05-07 00:00:00.000,Phone Banking
LYNDE,Denidge,Senior Quality Engineer,Low,031-17-5772,Private Car Insurance,motor insurance,5294,152,4241,National Bank,motor insurance Deposit,12592,D,2021-05-07 00:00:00.000,Branch
LYNDE,Denidge,Senior Quality Engineer,Low,031-17-5772,Diners Club Black,Equities,10053,152,4350,Dabjam,credit card Deposit,18164,D,2021-05-07 00:00:00.000,Branch
WALLY,Rawlinson,Nuclear Power Engineer,Low,934-73-3136,SavingsMax Account,savings account,9979,66,1143,Blogspan,savings account Deposit,14102,D,2021-05-07 00:00:00.000,Branch
LYNDE,Denidge,Senior Quality Engineer,Low,031-17-5772,Critical Illness Platinum,health insurance,4950,152,2964,National Bank,health insurance Deposit,21823,D,2021-05-07 00:00:00.000,Branch
MARCELIA,Kondratyuk,Actuary,High,038-93-6081,Life Easy Health,life insurance,9741,812,2931,National Bank,life insurance Deposit,9368,D,2021-05-07 00:00:00.000,Branch
WALLY,Rawlinson,Nuclear Power Engineer,Low,934-73-3136,Diners Club Black,credit card,2417,66,1588,Kwimbee,mutual funds Withdrawal,13810,W,2021-05-07 00:00:00.000,Branch
ALDRICH,Meron,Senior Editor,High,038-01-5845,Regular Fixed Deposit,fixed deposit,9464,258,1821,National Bank,fixed deposit Deposit,16170,D,2021-05-07 00:00:00.000,Branch
MARCELIA,Kondratyuk,Actuary,High,038-93-6081,Life Easy Health,life insurance,9140,812,2931,National Bank,life insurance Deposit,5244,D,2021-05-07 00:00:00.000,Branch
LYNDE,Denidge,Senior Quality Engineer,Low,031-17-5772,Diners Club Black,Equities,9098,152,4350,Linkbuzz,credit card Deposit,21691,D,2021-05-07 00:00:00.000,Branch
DOLPH,McMonies,Health Coach II,Low,856-33-1847,Franklin Templeton MF,mutual funds,9041,975,4588,Devify,mutual funds Withdrawal,6943,W,2021-05-07 00:00:00.000,Branch
SUZANNA,Stourton,VP Sales,Low,820-92-6931,Super Saver Facility,fixed deposit,2172,120,2291,National Bank,fixed deposit Deposit,22993,D,2021-05-07 00:00:00.000,Branch
TYMON,Fenlon,Programmer Analyst IV,Low,572-14-2901,Diners Club Black,credit card,7652,692,1220,Skalith,credit card Deposit,22826,D,2021-05-06 00:00:00.000,Branch
SIMONETTE,Burnep,Web Designer I,Low,202-88-4382,Central Govt Scheme,educational loan,6601,686,2585,National Bank,educational loan Deposit,7432,D,2021-05-06 00:00:00.000,Phone Banking
BENNIE,Riddell,Recruiting Manager,Medium,436-58-6403,Home Gaurd Insurance,home insurance,6388,741,3978,National Bank,home insurance Deposit,22500,D,2021-05-06 00:00:00.000,Phone Banking
VASSILI,Burnell,Data Coordiator,Medium,409-27-4904,Diners Club Black,credit card,10111,47,4872,Realblab,mutual funds Withdrawal,17325,W,2021-05-06 00:00:00.000,Branch
CHRISSY,Dagwell,Chemical Engineer,Medium,025-29-9597,Critical Illness Platinum,health insurance,5072,533,2425,National Bank,health insurance Deposit,18110,D,2021-05-06 00:00:00.000,Branch
DORELIA,Huton,Senior Cost Accountant,High,037-51-6136,Home Gaurd Insurance,home insurance,9433,25,4724,National Bank,home insurance Deposit,12072,D,2021-05-06 00:00:00.000,Phone Banking
OLIVIER,Emmer,Chief Design Engineer,High,604-03-0553,Equities,Equities,6875,82,1916,Pixonyx,Equities Withdrawal,14827,W,2021-05-05 00:00:00.000,Branch
REED,Patria,Senior Sales Associate,High,832-37-8991,Diners Club Black,credit card,8661,827,284,Gabspot,credit card Deposit,2352,D,2021-05-05 00:00:00.000,Branch
MELANTHA,Martellini,Database Administrator III,Low,963-00-6891,National Home Loan,home loan,4054,436,2676,National Bank,home loan Deposit,10226,D,2021-05-04 00:00:00.000,Branch
MELANTHA,Martellini,Database Administrator III,Low,963-00-6891,Foreign Education Loan,educational loan,7375,436,3970,National Bank,educational loan Deposit,6100,D,2021-05-04 00:00:00.000,Phone Banking
KASSIA,Dunsford,Actuary,Low,684-36-1694,Critical Illness Platinum,health insurance,7047,650,1925,National Bank,health insurance Deposit,18955,D,2021-05-04 00:00:00.000,Branch
CLIO,Keets,Actuary,Medium,754-28-3682,Diners Club Black,credit card,6870,59,2394,Devpulse,credit card Deposit,24061,D,2021-05-04 00:00:00.000,Branch
MELANTHA,Martellini,Database Administrator III,Low,963-00-6891,Platinum Times Card,credit card,6694,436,3565,Skalith,Equities Withdrawal,21632,W,2021-05-04 00:00:00.000,Branch
XEVER,Ferrario,Design Engineer,High,510-39-1635,Apex Current Account,current account,5991,553,233,Ntag,savings account Deposit,13477,D,2021-05-04 00:00:00.000,Branch
XEVER,Ferrario,Design Engineer,High,510-39-1635,Apex Current Account,current account,10458,553,233,Skiptube,savings account Deposit,18109,D,2021-05-04 00:00:00.000,Branch
MELANTHA,Martellini,Database Administrator III,Low,963-00-6891,Foreign Education Loan,educational loan,9513,436,3970,National Bank,educational loan Deposit,1785,D,2021-05-04 00:00:00.000,Phone Banking
ROZ,Waller-Bridge,Senior Sales Associate,High,608-21-7772,Critical Illness Platinum,health insurance,9542,925,1960,National Bank,health insurance Deposit,21043,D,2021-05-04 00:00:00.000,Branch
MELANTHA,Martellini,Database Administrator III,Low,963-00-6891,Foreign Education Loan,educational loan,8980,436,3970,National Bank,educational loan Deposit,23559,D,2021-05-04 00:00:00.000,Phone Banking
DANILA,Adamiak,Recruiter,Medium,050-56-8651,Regular Fixed Deposit,fixed deposit,8140,503,657,National Bank,fixed deposit Deposit,8092,D,2021-05-03 00:00:00.000,Branch
EDI,Genever,Teacher,High,780-65-0885,Emergency Personal Loan,Personal Loan,10720,624,3629,National Bank,Personal Loan Deposit,24795,D,2021-05-03 00:00:00.000,Branch
MILTY,Bonas,Sales Representative,High,774-11-5379,Private Car Insurance,motor insurance,6561,544,4301,National Bank,motor insurance Deposit,14354,D,2021-05-03 00:00:00.000,Branch
CORABELLE,Fishley,Structural Analysis Engineer,High,230-52-4172,Apex Current Account,current account,8607,559,668,Reallinks,savings account Deposit,8471,D,2021-05-03 00:00:00.000,Branch
ALAMEDA,Gater,Community Outreach Specialist,Low,956-36-8169,Franklin Templeton MF,mutual funds,8190,400,1127,Buzzshare,mutual funds Withdrawal,10493,W,2021-05-02 00:00:00.000,Branch
ALAMEDA,Gater,Community Outreach Specialist,Low,956-36-8169,Diners Club Black,credit card,988,400,3394,Skinte,credit card Deposit,20586,D,2021-05-02 00:00:00.000,Branch
BUCKIE,Porteous,Help Desk Operator,Medium,124-82-2627,SavingsMax Account,savings account,482,208,2593,Thoughtworks,current account Deposit,10757,D,2021-05-02 00:00:00.000,Branch
ALAMEDA,Gater,Community Outreach Specialist,Low,956-36-8169,New Car Loan,car loan,7258,400,4897,National Bank,car loan Deposit,15936,D,2021-05-02 00:00:00.000,Phone Banking
ROSLYN,Chicco,Health Coach I,High,859-98-1938,Private Car Insurance,motor insurance,7161,356,3475,National Bank,motor insurance Deposit,23044,D,2021-05-02 00:00:00.000,Branch
ALAMEDA,Gater,Community Outreach Specialist,Low,956-36-8169,National Home Loan,home loan,1744,400,390,National Bank,home loan Deposit,12592,D,2021-05-02 00:00:00.000,Branch
ALAMEDA,Gater,Community Outreach Specialist,Low,956-36-8169,New Car Loan,car loan,6594,400,2270,National Bank,car loan Deposit,17530,D,2021-05-02 00:00:00.000,Phone Banking
ALAMEDA,Gater,Community Outreach Specialist,Low,956-36-8169,Emergency Personal Loan,Personal Loan,3144,400,567,National Bank,Personal Loan Deposit,1785,D,2021-05-02 00:00:00.000,Branch
ALAMEDA,Gater,Community Outreach Specialist,Low,956-36-8169,Private Car Insurance,motor insurance,6207,400,671,National Bank,motor insurance Deposit,3851,D,2021-05-02 00:00:00.000,Branch
MEAD,Side,Structural Analysis Engineer,Medium,084-04-4503,Life Easy Health,life insurance,6000,175,4339,National Bank,life insurance Deposit,22835,D,2021-05-02 00:00:00.000,Branch
AARON,Blaker,Database Administrator II,Medium,653-83-1030,Regular Fixed Deposit,fixed deposit,5817,384,653,National Bank,fixed deposit Deposit,23289,D,2021-05-02 00:00:00.000,Branch
MARIETTA,Atkirk,Nurse Practicioner,High,986-02-8709,Critical Illness Platinum,health insurance,10499,863,2874,National Bank,health insurance Deposit,21180,D,2021-05-02 00:00:00.000,Branch
ALAMEDA,Gater,Community Outreach Specialist,Low,956-36-8169,New Car Loan,car loan,5199,400,4897,National Bank,car loan Deposit,20147,D,2021-05-02 00:00:00.000,Phone Banking
REGGIS,Rasch,Occupational Therapist,Low,253-84-5473,New Car Loan,car loan,10364,897,3747,National Bank,car loan Deposit,24708,D,2021-05-02 00:00:00.000,Phone Banking
ALAMEDA,Gater,Community Outreach Specialist,Low,956-36-8169,Emergency Personal Loan,Personal Loan,10018,400,567,National Bank,Personal Loan Deposit,7783,D,2021-05-02 00:00:00.000,Branch
ALAMEDA,Gater,Community Outreach Specialist,Low,956-36-8169,Diners Club Black,credit card,2497,400,3394,Meedoo,credit card Deposit,12100,D,2021-05-02 00:00:00.000,Branch
FELIPA,O'Cahey,Account Representative II,Medium,004-83-3732,Assured Home Loan,home loan,1211,199,4996,National Bank,home loan Deposit,22812,D,2021-05-02 00:00:00.000,Branch
ALAMEDA,Gater,Community Outreach Specialist,Low,956-36-8169,New Car Loan,car loan,4787,400,2270,National Bank,car loan Deposit,7186,D,2021-05-02 00:00:00.000,Phone Banking
BARD,Harron,Web Developer III,Low,582-25-7488,Super Saver Savings Account,savings account,3336,874,909,Wikivu,current account Deposit,22071,D,2021-04-29 00:00:00.000,Branch
CON,Rozier,Senior Sales Associate,Medium,210-52-5089,Life Easy Health,life insurance,1475,426,1329,National Bank,life insurance Deposit,13704,D,2021-04-29 00:00:00.000,Branch
MALVA,Barnett,Chief Design Engineer,Medium,151-55-8934,Critical Illness Platinum,health insurance,5094,262,1033,National Bank,health insurance Deposit,22119,D,2021-04-29 00:00:00.000,Branch
SIMONETTE,Burnep,Web Designer I,Low,202-88-4382,Central Govt Scheme,educational loan,9889,686,2585,National Bank,educational loan Deposit,5542,D,2021-04-29 00:00:00.000,Phone Banking
BIRON,Apfler,Human Resources Assistant III,Medium,944-62-6012,Diners Club Black,Equities,4864,342,2775,Aivee,credit card Deposit,15116,D,2021-04-29 00:00:00.000,Branch
ANABELLA,Ollier,Safety Technician III,Low,673-57-3899,Critical Illness Platinum,health insurance,10664,447,4315,National Bank,health insurance Deposit,8903,D,2021-04-29 00:00:00.000,Branch
ELDEN,Doman,VP Marketing,Medium,760-52-2990,SavingsMax Account,savings account,2155,730,3018,Camimbo,current account Deposit,21352,D,2021-04-29 00:00:00.000,Branch
MAXY,Jacketts,Programmer I,High,315-41-2448,Equities,Equities,8161,350,4999,Thoughtstorm,Equities Withdrawal,3448,W,2021-04-28 00:00:00.000,Branch
ARDA,Beecheno,Programmer Analyst I,Medium,126-94-5340,Life Easy Health,life insurance,3953,700,1986,National Bank,life insurance Deposit,11244,D,2021-04-28 00:00:00.000,Branch
BRANDISE,Beverage,Account Executive,Low,339-71-5998,New Car Loan,car loan,5235,215,2055,National Bank,car loan Deposit,11031,D,2021-04-28 00:00:00.000,Phone Banking
SONDRA,Call,General Manager,High,626-32-0200,Super Saver Savings Account,savings account,5360,666,18,LiveZ,current account Deposit,13005,D,2021-04-28 00:00:00.000,Branch
HAMID,Bluschke,Desktop Support Technician,Medium,387-78-6411,Critical Illness Platinum,health insurance,9633,673,1902,National Bank,health insurance Deposit,4362,D,2021-04-28 00:00:00.000,Branch
ARDA,Beecheno,Programmer Analyst I,Medium,126-94-5340,Pre-Owned Car Loan,car loan,9036,700,2335,National Bank,car loan Deposit,2774,D,2021-04-28 00:00:00.000,Phone Banking
DERREK,Reeders,Account Executive,Low,862-02-8925,Platinum Times Card,credit card,8748,891,1784,Rhybox,Equities Withdrawal,10838,W,2021-04-28 00:00:00.000,Branch
DERREK,Reeders,Account Executive,Low,862-02-8925,Franklin Templeton MF,mutual funds,2052,891,2319,Fanoodle,mutual funds Withdrawal,13359,W,2021-04-28 00:00:00.000,Branch
JIMMY,McIlhone,Research Assistant IV,Low,094-02-1434,Critical Illness Platinum,health insurance,3993,784,861,National Bank,health insurance Deposit,17046,D,2021-04-27 00:00:00.000,Branch
JIMMY,McIlhone,Research Assistant IV,Low,094-02-1434,Diners Club Black,Equities,3912,784,2205,Mydeo,credit card Deposit,14755,D,2021-04-27 00:00:00.000,Branch
JIMMY,McIlhone,Research Assistant IV,Low,094-02-1434,Private Car Insurance,motor insurance,3468,784,2683,National Bank,motor insurance Deposit,10959,D,2021-04-27 00:00:00.000,Branch
JIMMY,McIlhone,Research Assistant IV,Low,094-02-1434,Critical Illness Platinum,health insurance,6424,784,3375,National Bank,health insurance Deposit,19280,D,2021-04-27 00:00:00.000,Branch
JIMMY,McIlhone,Research Assistant IV,Low,094-02-1434,Critical Illness Platinum,health insurance,3047,784,861,National Bank,health insurance Deposit,1377,D,2021-04-27 00:00:00.000,Branch
JIMMY,McIlhone,Research Assistant IV,Low,094-02-1434,Diners Club Black,Equities,179,784,2205,Zava,credit card Deposit,22306,D,2021-04-27 00:00:00.000,Branch
JIMMY,McIlhone,Research Assistant IV,Low,094-02-1434,Private Car Insurance,motor insurance,5588,784,2683,National Bank,motor insurance Deposit,24326,D,2021-04-27 00:00:00.000,Branch
JIMMY,McIlhone,Research Assistant IV,Low,094-02-1434,Private Car Insurance,motor insurance,10698,784,2683,National Bank,motor insurance Deposit,14316,D,2021-04-27 00:00:00.000,Branch
MANDY,Ouldcott,Speech Pathologist,Medium,812-78-7651,Life Easy Health,life insurance,10211,920,3842,National Bank,life insurance Deposit,7503,D,2021-04-27 00:00:00.000,Branch
CECILIO,Lunk,Staff Scientist,Low,565-56-4313,Private Car Insurance,motor insurance,9897,474,4117,National Bank,motor insurance Deposit,13300,D,2021-04-27 00:00:00.000,Branch
